rank,track,artist,week,month,day,year,season,time_since_covid,covid_period,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,7 Rings,Ariana Grande,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.778,0.317,0.317,-10.732,minor,0.334,0.592,0,0.0881,0.327,140.048,178627,4
2,Happier,Marshmello & Bastille,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.687,0.792,0.792,-2.749,major,0.0452,0.191,0,0.167,0.671,100.015,214290,4
3,Without Me,Halsey,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.752,0.488,0.488,-7.05,major,0.0705,0.297,9.11e-6,0.0936,0.533,136.041,201661,4
4,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.76,0.479,0.479,-5.574,major,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
5,Sicko Mode,Travis Scott,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.834,0.73,0.73,-3.714,major,0.222,0.00513,0,0.124,0.446,155.008,312820,4
6,High Hopes,Panic! At The Disco,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.579,0.904,0.904,-2.729,major,0.0618,0.193,0,0.064,0.681,82.014,190947,4
7,"Thank U, Next",Ariana Grande,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.717,0.653,0.653,-5.634,major,0.0658,0.229,0,0.101,0.412,106.966,207320,4
8,Middle Child,J. Cole,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.837,0.364,0.364,-11.713,major,0.276,0.149,0,0.271,0.463,123.984,213594,4
9,Wow.,Post Malone,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.829,0.539,0.539,-7.359,minor,0.208,0.136,1.78e-6,0.103,0.388,99.96,149547,4
10,Girls Like You,Maroon 5 Featuring Cardi B,2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.611,0.462,0.462,-7.054,major,0.0646,0.558,1.01e-6,0.131,0.377,59.635,215230,4
11,Eastside,"benny blanco, Halsey & Khalid",2019-02-16,Feb,16,2019,Winter,-338,pre_covid,0.56,0.68,0.68,-7.648,minor,0.321,0.555,0,0.116,0.319,89.391,173800,4
